,geography,category,data_type,unit,currency_conversion,current_constant,year_nk,value
0,Azerbaijan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,21289.4
1,Bangladesh,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,163821.5
2,Cambodia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,15843.8
3,China,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,6916076.8
4,"Hong Kong, China",Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,261752.1
5,India,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1780197.6
6,Indonesia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,562046.2
7,Japan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,2930816.3
8,Kazakhstan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,69481.6
9,Laos,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,10832.8
10,Malaysia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,148775.6
11,Myanmar,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,37974.7
12,Pakistan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,232315.6
13,Philippines,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,231696.0
14,Singapore,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,159786.2
15,South Korea,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,786864.1
16,Sri Lanka,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,60456.6
17,Taiwan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,334339.6
18,Thailand,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,219938.6
19,Turkmenistan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,3941.5
20,Uzbekistan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,55323.8
21,Vietnam,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,145115.7
22,Australia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,841723.4
23,New Zealand,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,102190.1
24,Belarus,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,27695.0
25,Bosnia and Herzegovina,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,13440.7
26,Bulgaria,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,31501.5
27,Croatia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,31879.3
28,Czech Republic,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,102169.2
29,Estonia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,12961.9
30,Georgia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,9487.2
31,Hungary,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,70014.2
32,Latvia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,17091.8
33,Lithuania,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,27454.0
34,North Macedonia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,7394.0
35,Poland,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,286033.9
36,Romania,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,116973.9
37,Russia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,767841.6
38,Serbia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,26470.7
39,Slovakia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,52723.4
40,Slovenia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,26849.0
41,Ukraine,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,61370.3
42,Argentina,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,365031.6
43,Bolivia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,20346.7
44,Brazil,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1261352.1
45,Chile,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,165625.9
46,Colombia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,207626.3
47,Costa Rica,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,37459.8
48,Dominican Republic,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,62067.6
