,geography,category,data_type,unit,current_constant,year_nk,value
0,Afghanistan,Internet Users,Socio-economic indicators,0,-,2016,2929.9
1,American Samoa,Internet Users,Socio-economic indicators,0,-,2016,14.9
2,Armenia,Internet Users,Socio-economic indicators,0,-,2016,1751.2
3,Azerbaijan,Internet Users,Socio-economic indicators,0,-,2016,6923.6
4,Bangladesh,Internet Users,Socio-economic indicators,0,-,2016,25834.1
5,Bhutan,Internet Users,Socio-economic indicators,0,-,2016,281.8
6,Brunei Darussalam,Internet Users,Socio-economic indicators,0,-,2016,346.4
7,Cambodia,Internet Users,Socio-economic indicators,0,-,2016,4533.9
8,China,Internet Users,Socio-economic indicators,0,-,2016,687130.4
9,Fiji,Internet Users,Socio-economic indicators,0,-,2016,362.6
10,French Polynesia,Internet Users,Socio-economic indicators,0,-,2016,174.7
11,Guam,Internet Users,Socio-economic indicators,0,-,2016,115.0
12,"Hong Kong, China",Internet Users,Socio-economic indicators,0,-,2016,6173.5
13,India,Internet Users,Socio-economic indicators,0,-,2016,335178.7
14,Indonesia,Internet Users,Socio-economic indicators,0,-,2016,60318.4
15,Japan,Internet Users,Socio-economic indicators,0,-,2016,113654.2
16,Kazakhstan,Internet Users,Socio-economic indicators,0,-,2016,11675.9
17,Kiribati,Internet Users,Socio-economic indicators,0,-,2016,13.4
18,Kyrgyzstan,Internet Users,Socio-economic indicators,0,-,2016,1955.6
19,Laos,Internet Users,Socio-economic indicators,0,-,2016,1326.2
20,"Macau, China",Internet Users,Socio-economic indicators,0,-,2016,472.9
21,Malaysia,Internet Users,Socio-economic indicators,0,-,2016,22834.3
22,Maldives,Internet Users,Socio-economic indicators,0,-,2016,258.8
23,Mongolia,Internet Users,Socio-economic indicators,0,-,2016,597.5
24,Myanmar,Internet Users,Socio-economic indicators,0,-,2016,12164.1
25,Nauru,Internet Users,Socio-economic indicators,0,-,2016,6.4
26,Nepal,Internet Users,Socio-economic indicators,0,-,2016,4823.2
27,New Caledonia,Internet Users,Socio-economic indicators,0,-,2016,197.3
28,North Korea,Internet Users,Socio-economic indicators,0,-,2016,1386.2
29,Pakistan,Internet Users,Socio-economic indicators,0,-,2016,21962.3
30,Papua New Guinea,Internet Users,Socio-economic indicators,0,-,2016,692.2
31,Philippines,Internet Users,Socio-economic indicators,0,-,2016,51196.2
32,Samoa,Internet Users,Socio-economic indicators,0,-,2016,48.9
33,Singapore,Internet Users,Socio-economic indicators,0,-,2016,4577.7
34,Solomon Islands,Internet Users,Socio-economic indicators,0,-,2016,57.6
35,South Korea,Internet Users,Socio-economic indicators,0,-,2016,45505.7
36,Sri Lanka,Internet Users,Socio-economic indicators,0,-,2016,6075.8
37,Taiwan,Internet Users,Socio-economic indicators,0,-,2016,17894.5
38,Tajikistan,Internet Users,Socio-economic indicators,0,-,2016,1514.3
39,Thailand,Internet Users,Socio-economic indicators,0,-,2016,30963.8
40,Tonga,Internet Users,Socio-economic indicators,0,-,2016,35.4
41,Turkmenistan,Internet Users,Socio-economic indicators,0,-,2016,893.6
42,Tuvalu,Internet Users,Socio-economic indicators,0,-,2016,5.2
43,Uzbekistan,Internet Users,Socio-economic indicators,0,-,2016,13149.4
44,Vanuatu,Internet Users,Socio-economic indicators,0,-,2016,57.4
45,Vietnam,Internet Users,Socio-economic indicators,0,-,2016,45269.4
46,Australia,Internet Users,Socio-economic indicators,0,-,2016,19573.0
47,New Zealand,Internet Users,Socio-economic indicators,0,-,2016,3856.5
48,Albania,Internet Users,Socio-economic indicators,0,-,2016,1801.4
49,Belarus,Internet Users,Socio-economic indicators,0,-,2016,6318.9
50,Bosnia and Herzegovina,Internet Users,Socio-economic indicators,0,-,2016,2012.0
51,Bulgaria,Internet Users,Socio-economic indicators,0,-,2016,4079.9
52,Croatia,Internet Users,Socio-economic indicators,0,-,2016,2902.2
53,Czech Republic,Internet Users,Socio-economic indicators,0,-,2016,7650.9
54,Estonia,Internet Users,Socio-economic indicators,0,-,2016,1086.4
55,Georgia,Internet Users,Socio-economic indicators,0,-,2016,2021.8
56,Hungary,Internet Users,Socio-economic indicators,0,-,2016,7431.1
57,Kosovo,Internet Users,Socio-economic indicators,0,-,2016,1452.4
58,Latvia,Internet Users,Socio-economic indicators,0,-,2016,1489.3
59,Lithuania,Internet Users,Socio-economic indicators,0,-,2016,2035.7
60,Moldova,Internet Users,Socio-economic indicators,0,-,2016,2730.8
61,Montenegro,Internet Users,Socio-economic indicators,0,-,2016,412.6
62,North Macedonia,Internet Users,Socio-economic indicators,0,-,2016,1411.6
63,Poland,Internet Users,Socio-economic indicators,0,-,2016,26788.2
64,Romania,Internet Users,Socio-economic indicators,0,-,2016,11191.7
65,Russia,Internet Users,Socio-economic indicators,0,-,2016,98571.1
66,Serbia,Internet Users,Socio-economic indicators,0,-,2016,4524.9
67,Slovakia,Internet Users,Socio-economic indicators,0,-,2016,4136.4
68,Slovenia,Internet Users,Socio-economic indicators,0,-,2016,1477.4
69,Ukraine,Internet Users,Socio-economic indicators,0,-,2016,21354.0
70,Anguilla,Internet Users,Socio-economic indicators,0,-,2016,11.8
71,Antigua and Barbuda,Internet Users,Socio-economic indicators,0,-,2016,63.7
72,Argentina,Internet Users,Socio-economic indicators,0,-,2016,28160.5
73,Aruba,Internet Users,Socio-economic indicators,0,-,2016,92.9
74,Bahamas,Internet Users,Socio-economic indicators,0,-,2016,281.5
75,Barbados,Internet Users,Socio-economic indicators,0,-,2016,215.2
76,Belize,Internet Users,Socio-economic indicators,0,-,2016,146.9
77,Bermuda,Internet Users,Socio-economic indicators,0,-,2016,62.1
78,Bolivia,Internet Users,Socio-economic indicators,0,-,2016,3904.8
79,Brazil,Internet Users,Socio-economic indicators,0,-,2016,116456.7
80,British Virgin Islands,Internet Users,Socio-economic indicators,0,-,2016,22.8
81,Cayman Islands,Internet Users,Socio-economic indicators,0,-,2016,49.4
82,Chile,Internet Users,Socio-economic indicators,0,-,2016,14176.4
83,Colombia,Internet Users,Socio-economic indicators,0,-,2016,25827.3
84,Costa Rica,Internet Users,Socio-economic indicators,0,-,2016,2983.8
85,Cuba,Internet Users,Socio-economic indicators,0,-,2016,4601.6
86,Curacao,Internet Users,Socio-economic indicators,0,-,2016,93.4
87,Dominica,Internet Users,Socio-economic indicators,0,-,2016,47.8
88,Dominican Republic,Internet Users,Socio-economic indicators,0,-,2016,5999.0
89,Ecuador,Internet Users,Socio-economic indicators,0,-,2016,8072.2
90,El Salvador,Internet Users,Socio-economic indicators,0,-,2016,1675.1
91,French Guiana,Internet Users,Socio-economic indicators,0,-,2016,127.3
92,Grenada,Internet Users,Socio-economic indicators,0,-,2016,56.5
93,Guadeloupe,Internet Users,Socio-economic indicators,0,-,2016,194.1
94,Guatemala,Internet Users,Socio-economic indicators,0,-,2016,4914.7
95,Guyana,Internet Users,Socio-economic indicators,0,-,2016,248.2
96,Haiti,Internet Users,Socio-economic indicators,0,-,2016,1170.6
97,Honduras,Internet Users,Socio-economic indicators,0,-,2016,2441.8
98,Jamaica,Internet Users,Socio-economic indicators,0,-,2016,1184.4
99,Martinique,Internet Users,Socio-economic indicators,0,-,2016,245.5
100,Mexico,Internet Users,Socio-economic indicators,0,-,2016,66184.0
101,Nicaragua,Internet Users,Socio-economic indicators,0,-,2016,1384.4
102,Panama,Internet Users,Socio-economic indicators,0,-,2016,1970.8
103,Paraguay,Internet Users,Socio-economic indicators,0,-,2016,3252.5
104,Peru,Internet Users,Socio-economic indicators,0,-,2016,12810.7
105,Puerto Rico,Internet Users,Socio-economic indicators,0,-,2016,2150.0
106,St Kitts and Nevis,Internet Users,Socio-economic indicators,0,-,2016,39.7
107,St Lucia,Internet Users,Socio-economic indicators,0,-,2016,79.0
108,St Vincent and the Grenadines,Internet Users,Socio-economic indicators,0,-,2016,56.0
109,Suriname,Internet Users,Socio-economic indicators,0,-,2016,232.4
110,Trinidad and Tobago,Internet Users,Socio-economic indicators,0,-,2016,939.8
111,Uruguay,Internet Users,Socio-economic indicators,0,-,2016,2112.9
112,US Virgin Islands,Internet Users,Socio-economic indicators,0,-,2016,58.4
113,Venezuela,Internet Users,Socio-economic indicators,0,-,2016,16234.7
