,geography,category,data_type,unit,current_constant,year_nk,value
0,Afghanistan,Total Population,Socio-economic indicators,0,-,2016,35383.0
1,American Samoa,Total Population,Socio-economic indicators,0,-,2016,55.7
2,Armenia,Total Population,Socio-economic indicators,0,-,2016,2936.1
3,Azerbaijan,Total Population,Socio-economic indicators,0,-,2016,9705.6
4,Bangladesh,Total Population,Socio-economic indicators,0,-,2016,157977.2
5,Bhutan,Total Population,Socio-economic indicators,0,-,2016,736.7
6,Brunei Darussalam,Total Population,Socio-economic indicators,0,-,2016,419.8
7,Cambodia,Total Population,Socio-economic indicators,0,-,2016,15766.3
8,China,Total Population,Socio-economic indicators,0,-,2016,1374620.0
9,Fiji,Total Population,Socio-economic indicators,0,-,2016,872.4
10,French Polynesia,Total Population,Socio-economic indicators,0,-,2016,274.6
11,Guam,Total Population,Socio-economic indicators,0,-,2016,162.9
12,"Hong Kong, China",Total Population,Socio-economic indicators,0,-,2016,7336.6
13,India,Total Population,Socio-economic indicators,0,-,2016,1285939.1
14,Indonesia,Total Population,Socio-economic indicators,0,-,2016,261556.4
15,Japan,Total Population,Socio-economic indicators,0,-,2016,126933.0
16,Kazakhstan,Total Population,Socio-economic indicators,0,-,2016,17669.9
17,Kiribati,Total Population,Socio-economic indicators,0,-,2016,112.5
18,Kyrgyzstan,Total Population,Socio-economic indicators,0,-,2016,6074.3
19,Laos,Total Population,Socio-economic indicators,0,-,2016,6845.8
20,"Macau, China",Total Population,Socio-economic indicators,0,-,2016,612.8
21,Malaysia,Total Population,Socio-economic indicators,0,-,2016,31633.5
22,Maldives,Total Population,Socio-economic indicators,0,-,2016,475.5
23,Mongolia,Total Population,Socio-economic indicators,0,-,2016,3056.4
24,Myanmar,Total Population,Socio-economic indicators,0,-,2016,53045.2
25,Nauru,Total Population,Socio-economic indicators,0,-,2016,10.5
26,Nepal,Total Population,Socio-economic indicators,0,-,2016,27263.4
27,New Caledonia,Total Population,Socio-economic indicators,0,-,2016,274.2
28,North Korea,Total Population,Socio-economic indicators,0,-,2016,25307.7
29,Pakistan,Total Population,Socio-economic indicators,0,-,2016,203631.4
30,Papua New Guinea,Total Population,Socio-economic indicators,0,-,2016,8271.8
31,Philippines,Total Population,Socio-economic indicators,0,-,2016,103663.8
32,Samoa,Total Population,Socio-economic indicators,0,-,2016,194.5
33,Singapore,Total Population,Socio-economic indicators,0,-,2016,5607.3
