country_sk,metric,year_nk,value
Afghanistan,Total Population,2016,35383.0
American Samoa,Total Population,2016,55.7
Armenia,Total Population,2016,2936.1
Azerbaijan,Total Population,2016,9705.6
Bangladesh,Total Population,2016,157977.2
Bhutan,Total Population,2016,736.7
Brunei Darussalam,Total Population,2016,419.8
Cambodia,Total Population,2016,15766.3
China,Total Population,2016,1374620.0
Fiji,Total Population,2016,872.4
French Polynesia,Total Population,2016,274.6
Guam,Total Population,2016,162.9
"Hong Kong, China",Total Population,2016,7336.6
India,Total Population,2016,1285939.1
Indonesia,Total Population,2016,261556.4
Japan,Total Population,2016,126933.0
Kazakhstan,Total Population,2016,17669.9
Kiribati,Total Population,2016,112.5
Kyrgyzstan,Total Population,2016,6074.3
Laos,Total Population,2016,6845.8
"Macau, China",Total Population,2016,612.8
Malaysia,Total Population,2016,31633.5
Maldives,Total Population,2016,475.5
Mongolia,Total Population,2016,3056.4
Myanmar,Total Population,2016,53045.2
Nauru,Total Population,2016,10.5
Nepal,Total Population,2016,27263.4
New Caledonia,Total Population,2016,274.2
North Korea,Total Population,2016,25307.7
Pakistan,Total Population,2016,203631.4
Papua New Guinea,Total Population,2016,8271.8
Philippines,Total Population,2016,103663.8
Samoa,Total Population,2016,194.5
Singapore,Total Population,2016,5607.3
Solomon Islands,Total Population,2016,619.4
South Korea,Total Population,2016,51245.7
Sri Lanka,Total Population,2016,21021.2
Taiwan,Total Population,2016,23492.1
Tajikistan,Total Population,2016,8663.6
Thailand,Total Population,2016,68971.3
Tonga,Total Population,2016,101.1
Turkmenistan,Total Population,2016,5662.4
Tuvalu,Total Population,2016,11.2
Uzbekistan,Total Population,2016,31441.8
Vanuatu,Total Population,2016,278.3
Vietnam,Total Population,2016,93250.7
Australia,Total Population,2016,24190.9
New Zealand,Total Population,2016,4663.7
Albania,Total Population,2016,2886.4
Belarus,Total Population,2016,9469.1
Bosnia and Herzegovina,Total Population,2016,3516.0
Bulgaria,Total Population,2016,7153.8
Croatia,Total Population,2016,4190.7
Czech Republic,Total Population,2016,10553.8
Estonia,Total Population,2016,1315.9
Georgia,Total Population,2016,3728.6
Hungary,Total Population,2016,9830.5
Kosovo,Total Population,2016,1771.6
Latvia,Total Population,2016,1969.0
Lithuania,Total Population,2016,2888.6
Moldova,Total Population,2016,4066.0
Montenegro,Total Population,2016,627.3
North Macedonia,Total Population,2016,2071.3
Poland,Total Population,2016,38437.2
Romania,Total Population,2016,19760.6
Russia,Total Population,2016,144221.3
Serbia,Total Population,2016,7076.4
Slovakia,Total Population,2016,5426.3
Slovenia,Total Population,2016,2064.2
Ukraine,Total Population,2016,42590.9
Anguilla,Total Population,2016,14.4
Antigua and Barbuda,Total Population,2016,94.5
Argentina,Total Population,2016,43483.9
Aruba,Total Population,2016,104.9
Bahamas,Total Population,2016,377.9
Barbados,Total Population,2016,285.8
Belize,Total Population,2016,368.4
Bermuda,Total Population,2016,63.4
Bolivia,Total Population,2016,11031.8
Brazil,Total Population,2016,206081.4
British Virgin Islands,Total Population,2016,29.4
Cayman Islands,Total Population,2016,62.6
Chile,Total Population,2016,18209.1
Colombia,Total Population,2016,48175.0
